[1209/162224.763:INFO:CONSOLE(585)] "Uncaught TypeError: Cannot read property 'value' of undefined", source: file:///C:/Users/summerki/Desktop/2018-12-9/code/DCPC_Project/DirectConnectionPredictControl/bin/Debug/Charts/test.html (585)
[1228/171134.403:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171138.238:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171138.674:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171139.407:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171143.243:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171143.680:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171144.412:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171148.247:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171148.685:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171149.420:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171153.252:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171153.703:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171154.433:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171158.266:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171158.712:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171159.448:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171203.274:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171203.723:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171204.455:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171208.282:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171208.734:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171209.459:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171213.287:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171213.739:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171214.466:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171218.292:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171218.744:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171638.699:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171643.704:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171648.715:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171653.725:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171658.737:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171703.745:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171708.757:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171713.784:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171718.798:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171723.802:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171728.815:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171733.824:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171738.836:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171743.856:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171748.861:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171753.877:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171758.884:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171803.889:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171806.713:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171806.757:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171808.902:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171811.734:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171811.770:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171813.915:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171816.748:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171816.775:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171818.928:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171821.752:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171821.782:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171823.934:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171826.758:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171826.787:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171828.940:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171831.763:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171831.798:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171833.945:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171836.768:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171836.803:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171838.949:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171841.774:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171841.808:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171843.953:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171846.780:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171846.814:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171848.957:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171851.785:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171851.819:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171853.970:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171856.792:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171856.824:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171858.975:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171901.798:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171901.829:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171903.980:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171906.804:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171906.848:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171908.986:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171911.809:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171911.852:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171913.992:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171916.814:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171916.858:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171919.004:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171921.821:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171921.866:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[1228/171924.020:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
